#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
153;;;"Se houver registro complementar do contribuinte (CNPJ ou CPF + IM do emitente da DPS), com situação ""Ativo"", no CNC do município correspondente ao município emissor da DPS (cLocEmi), a data de competência informada na DPS deve ser igual ou posterior à data de autorizasção de uso do emissores para o contribuinte pelo município emissor (cLocEmi).";;Obrig.;Rej.;E0025;A data de competência informada na DPS deve ser igual ou posterior à data autorizasção de uso do emissores, registrada no CNC do município correspondente ao município emissor da DPS (cLocEmi) para o contribuinte.;1;V;X;X;X;-;;;
154;NFSe/infNFSe/DPS/infDPS/;tpEmit;Se a DPS for emitida pelo tomador ou intermendiário (tpEmit = 2 ou 3), então a DPS deve ser rejeitada pelo sistema.;;Obrig.;Rej.;E9996;Nesta versão da aplicação, não é permitida a emissão de NFS-e pelo tomador ou intermediário.;1;V;V;V;V;-;;;
155;NFSe/infNFSe/DPS/infDPS/;cMotivoEmisTI;Se o emitente for o prestador de serviço (tpEmit = 1), então este campo não deve ser preenchido.;;Obrig.;Rej.;E0029;O motivo da emissão não pode ser preenchido se o emitente for o prestador de serviço.;1;V;V;V;V;-;;;
156;;;Para o tomador emitente da DPS, estabelecido em município diferente do município de incidência do ISSQN, então não pode haver retenção (tpRetISSQN tem que ser igual a 1).;;Obrig.;Rej.;E0031;Não pode haver retenção do ISSQN pelo tomador quando o município de incidência não for o do tomador.;2;X;X;X;X;-;;;
157;;;Para o intermediário emitente da DPS, estabelecido em município diferente do município de incidência do ISSQN, então não pode haver retenção (tpRetISSQN tem que ser igual a 1).;;Obrig.;Rej.;E0032;Não pode haver retenção do ISSQN pelo intermediário quando o município de incidência não for o do intermediário.;2;X;X;X;X;-;;;
158;NFSe/infNFSe/DPS/infDPS/;chNFSeRej;Somente é permitido o preencimento deste campo se o emitente da DPS for o Tomador ou Intermediário (tpEmit igual a 2 ou 3) e o motivo da emissão for a rejeição de NFS-e emitida pelo Prestador (cMotivoEmisTI igual a 4).;;Obrig.;Rej.;E0034;Somente é permitido o preenchimento do campo de chave de acesso de NFS-e rejeitada se o tipo de emitente for Tomador ou Intermediário e o motivo da emissao for por rejeição de NFS-e emitida pelo prestador.;1;X;X;X;X;-;;;
159;;;Verificar se a NFS-e informada possui Evento de Manifestação de Rejeição de NFS-e do Tomador ou Intermediario cujo autor do evento seja o mesmo emitente (Tomador ou Intermediário) desta DPS.;;Obrig.;Rej.;E0035;A chave de acesso de NFS-e informada nesta DPS não possui a ela vinculada o evento de manifestação de rejeição emitido pelo mesmo emitente desta DPS.;1;X;X;X;X;-;;;
160;NFSe/infNFSe/DPS/infDPS/;cLocEmi;"O código do município emissor informado na DPS deve existir no cadastro de convênio municipal do sistema nacional.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0037;O código do município emissor informado na DPS é inexistente no cadastro de convênio municipal do sistema nacional.;1;V;V;X;X;-;;;
161;;;"A situação do convênio do município emissor informado na DPS deve ser ""ATIVO"" no cadastro de convênio municipal do sistema nacional.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0038;"A situação do convênio do município emissor informado na DPS deve ser ""ATIVO"" no cadastro de convênio municipal do sistema nacional.";1;V;V;X;X;-;;;
162;;;"O município emissor informado na DPS deve estar parametrizado para utilizar os emissores públicos nacionais, conforme parametrização do município no Sistema Nacional NFS-e.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0039;O município emissor informado na DPS deve estar parametrizado para utilizar os emissores públicos nacionais, conforme parametrização do município no Sistema Nacional NFS-e.;1;V;V;X;X;-;;;
163;;;"Se tpEmit for igual a 1 (prestador) e a opção pelo simples nacional for igual a 2 (MEI), 
então o município emissor deve corresponder ao município do endereço do emitente no cadastro CNPJ.";;Obrig.;Rej.;E0041;O município emissor não corresponde ao município do emitente MEI no CNPJ.;1;V;V;X;X;-;;;
164;;;Verificar se o código do município emissor da NFS-e existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe, e corresponde ao mesmo município que está compartilhando a NFS-e.;;Obrig.;Rej.;E1304;O código do município emissor da NFS-e não existe conforme tabela do IBGE ou difere do código do municipio que está compartilhando o documento com o ADN do Sistema Nacional NFS-e.;1;X;X;V;V;-;;;
165;;;O código do município informado deve existir e estar ativo no cadastro de convênio municipal na data de processamento do compartilhamento com o ADN.;;Obrig.;Rej.;E1272;O código do município informado não existe ou não está ativo no convênio municipal na data de processamento de compartilhamento com o ADN.;1;X;X;V;V;Compartilhamento e Distribuição devem serguir esta regra;;;
166;NFSe/infNFSe/DPS/infDPS/;subst;-;;-;-;-;-;-;-;-;-;-;-;;;
167;NFSe/infNFSe/DPS/infDPS/subst;chSubstda;"Chave de NFS-e a ser substituída é inválida.

1 - Verificar DV da chave de NFS-e a ser substituída informada nesta DPS;
2 - Verificar a correspondência exata dos campos (Cód.Mun. / Tipo de Inscrição / Inscrição) da chave de NFS-e a ser substituída informada e o id desta DPS;";;Obrig.;Rej.;E0042;Chave de NFS-e a ser substituída é inválida.;1;V;V;V;V;-;;;
168;;;NFS-e inexistente.;;Obrig.;Rej.;E0044;NFS-e não existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.;1;V;V;V;V;-;;;
169;;;NFS-e cancelada não pode ser substituída.;;Obrig.;Rej.;E0046;Uma NFS-e cancelada não pode ser substituída. Informe uma chave de NFS-e não cancelada anteriormente.;1;V;V;V;V;-;;;
170;;;Não poderá ocorrer a substituição de NFS-e fora do prazo permitido, conforme parametrização do município emissor da NFS-e, exceto quando a justificativa para substituição de NFS-e for Desenquadramento ou Enquadramento de NFS-e no Simples Nacional (cMotivo = 1 ou 2).;;Obrig.;Rej.;E0050;Uma NFS-e não pode ser substituída fora do prazo estabelecido pelo município emissor da NFS-e.;3;V;X;X;X;-;;;
171;;;Não poderá ocorrer a substituição de NFS-e que não contenha identificação do tomador, conforme parametrização do município emissor da NFS-e.;;Obrig.;Rej.;E0056;NFS-e não pode ser substituída pois não possui identificação do tomador.;3;V;X;X;X;-;;;
172;;;Não poderá ocorrer a substituição de NFS-e com alteração da identificação do não emitente, conforme parametrização do município emissor da NFS-e.;;Obrig.;Rej.;E0058;Não poderá ocorrer a substituição de NFS-e com alteração da identificação do não emitente, conforme parametrização do município emissor da NFS-e.;3;V;X;X;X;-;;;
173;;;Os campos data de competência, subitem da lista nacional de serviços, código complementar municipal e local da prestação não podem ser alterados quando a opção do simples nacional for Não Optante (opSimpNac = 1).;;Obrig.;Rej.;E0060;Os campos data de competência, subitem da lista nacional de serviços, código complementar municipal e local da prestação não podem ser alterados quando a opção do simples nacional for Não Optante (opSimpNac = 1).;2;V;X;X;X;-;;;
174;;;Os campos identificação do Tomador (se identificado na DPS), data de competência (dCompet), e valor do serviço (vServ), não podem ser alterados quando a opção do simples nacional for MEI (opSimpNac = 2) ou ME/EPP (opSimpNac = 3).;;Obrig.;Rej.;E0061;Os campos identificação do Tomador (se identificado na DPS), data de competência (dCompet), e valor do serviço (vServ), não podem ser alterados quando a opção do simples nacional for MEI (opSimpNac = 2) ou ME/EPP (opSimpNac = 3).;2;V;X;X;X;-;;;
175;;;Não poderá ocorrer a substituição de NFS-e que tenha sido gerada em ambientes geradores difentes.;;Obrig.;Rej.;E0065;Não é possível substituição da NFS-e que tenha sido gerada em ambientes geradores diferentes.;1;V;V;V;V;-;;;
176;;;Não é possível a substituição desta NFS-e pois a mesma possui registro de Evento de Solicitação de Análise Fiscal para Cancelamento de NFS-e aguardando resposta.;;Obrig.;Rej.;E0068;Não é possível a substituição desta NFS-e pois a mesma possui registro de Evento de Solicitação de Análise Fiscal para Cancelamento de NFS-e aguardando resposta. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.;1;V;V;V;V;-;;;
177;;;Não poderá ocorrer a substituição de NFS-e que tenha registro de Evento de Manifestação de Confirmação da NFS-e.;;Obrig.;Rej.;E0070;Não é possível a substituição desta NFS-e pois já ocorreu uma manifestação de confirmação de serviço. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.;2;V;X;X;X;-;;;
178;;;Não poderá ocorrer a substituição de NFS-e que tenha registro de Evento de Manifestação de Confirmação Tácita da NFS-e.;;Obrig.;Rej.;E0072;Não é possível a substituição desta NFS-e pois já ocorreu uma manifestação tácita da NFS-e. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.;2;V;X;V;X;-;;;
179;;;Não é permitido realizar a substituição para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrização do município de incidência do ISSQN.;;Obrig.;Rej.;E0074;Não é permitido realizar a substituição para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrização do município de incidência do ISSQN. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.;3;V;X;X;X;Aguarda para Implementar no Contexto do MAN.;;;
180;;;Não é permitido realizar a substituição para NFS-e que possua Evento de Bloqueio de Ofício para o Evento de Cancelamento de NFS-e por Substituição vigente.;;Obrig.;Rej.;E0076;Não é permitido realizar a substituição para NFS-e que possua Evento de Bloqueio de Ofício para o Evento de Cancelamento de NFS-e por Substituição vigente.;1;V;V;V;V;-;;;
181;;;"Uma NFS-e substituta não pode ser compartilhada com o ADN pelo município conveniado antes que o cancelamento por sustituição de NFS-e da nota a ser substituída tenha sido compartilhada anteriormente.

Obs: Verificar se já houve o compartilhamento com o ADN do cancelamento por substituição de NFS-e, quando uma NFS-e que está sendo compartilhada possuir uma chave de NFS-e válida informada no leiaute. ";;Obrig.;Rej.;E1308;NFS-e a ser substituída não possui um evento de Cancelamento por substituição compartilhado com o ADN e por isso não pode ser substituída.;1;X;X;V;V;-;;;
182;;;"Uma NFS-e substituta não pode ser compartilhada com o ADN pelo município conveniado antes que o evento de cancelamento por sustituição de NFS-e, compartilhado anteriormente, contenha a referência ao identificador da NFS-e substituta que está sendo conpartilhada.

Obs: 
Obs: Verificar se o identificador da NFS-e substituta corresponde à chave de acesso informada no campo evento/pedRegEvento/infPedReg/e105102/chSubstituta do evento de cancelamento por sustituição da NFS-e substituída;";;Obrig.;Rej.;E1310;O identificador desta NFS-e substituta não está referenciado no evento de Cancelamento por substituição da NFS-e substituída.;1;X;X;V;V;-;;;
183;NFSe/infNFSe/DPS/infDPS/subst;cMotivo;-;;-;-;-;-;-;-;-;-;-;-;;;
184;NFSe/infNFSe/DPS/infDPS/subst;xMotivo;Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.;;Obrig.;Rej.;E0078;Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.;1;V;X;V;X;-;;;
185;NFSe/infNFSe/DPS/infDPS/;prest;-;;-;-;-;-;-;V;-;-;-;-;;;
186;NFSe/infNFSe/DPS/infDPS/prest/;CNPJ;CNPJ informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0080;CNPJ do prestador informado na DPS é inválido.;1;V;V;V;V;-;;;
187;;;CNPJ do prestador não existe no cadastro CNPJ na data de competência informada na DPS.;;Obrig.;Rej.;E0082;CNPJ do emitente prestador não encontrado no cadastro CNPJ na data de competência.;2;V;V;X;X;-;;;
188;;;"Para este CNPJ, se o emitente for o prestador de serviço (tpEmit = 1), na data de competência informada na DPS, o município emissor deve corresponder:
1) ao município do endereço registrado no cadastro CNPJ, se a situação padrão para emissão dos contribuintes, com endereço no município, do cadastro CNPJ da RFB for habilitada ou;
2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);

Exceto quando o emitente da DPS for MEI (opSimpNac = 2) na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0084;CNPJ do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.;2;V;X;X;X;-;;;
189;NFSe/infNFSe/DPS/infDPS/prest/;CPF;CPF informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0096;CPF do prestador informado na DPS é inválido.;1;V;V;V;V;-;;;
190;;;CPF do prestador não existe no cadastro CPF na data de competência informada na DPS.;;Obrig.;Rej.;E0098;CPF do emitente prestador não encontrado no cadastro CPF na data de competência.;2;V;V;X;X;-;;;
191;;;"Para este CPF, se o emitente for o prestador de serviço (tpEmit = 1), na data de competência informada na DPS, o município emissor deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0099;CPF do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme  cadastro nacional complementar NFS-e (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e).;2;V;X;X;X;-;;;
192;NFSe/infNFSe/DPS/infDPS/prest/;NIF;Se o campo tpEmit for ígual a 1, então NIF do prestador não pode ser informado.;;Obrig.;Rej.;E0112;O prestador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.;1;V;X;V;X;-;;;
193;;;Se o grupo de informações de endereço no exterior do prestador de serviços foi informado então o NIF ou cNaoNIF do prestador deve ser informado.;;Obrig.;Rej.;E0113;O NIF ou cNaoNIF do prestador deve ser informado quando o grupo de informações de endereço no exterior do prestador de serviços foi informado.;1;V;X;V;X;-;;;
194;NFSe/infNFSe/DPS/infDPS/prest/;cNaoNIF;;;;;;;;;;;;;;;
195;;;Se o campo tpEmit for ígual a 1, então cNaoNIF do prestador não pode ser informado.;;Obrig.;Rej.;E0114;O prestador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.;1;V;X;V;X;-;;;
196;;;Se o valor do campo cNaoNIF do prestador, informado na DPS, for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0115;Valor 0 para o motivo da não informação do NIF do prestador não é permitido na Sefin do Sistema Nacional NFS-e.;1;V;X;V;X;-;;;
197;NFSe/infNFSe/DPS/infDPS/prest/;CAEPF;-;;-;-;-;-;-;-;-;-;-;-;;;
198;NFSe/infNFSe/DPS/infDPS/prest/;IM;"Se o emitente for o prestador de serviço (tpEmit = 1) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência, então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0116;A IM deve ser informada para o emitente prestador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
199;;;"Se o emitente for o prestador de serviço (tpEmit = 1) e se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, verificar se o IM informado está autorizado a emitir NFS-e na data de processamento desta DPS,.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0119;IM do emitente prestador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
200;;;"Se o emitente for o prestador de serviço (tpEmit = 1) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi),  informados na DPS, para identificar o registro complementar no CNC NFS-e.";;Obrig.;Rej.;E0120;IM do prestador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
201;;;"Para o emitente prestador de serviço (tpEmit = 1), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.

Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.
 
Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.";;Obrig.;Rej.;E0124;O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. ;2;V;X;X;X;-;;;
202;NFSe/infNFSe/DPS/infDPS/prest/;xNome;Se o emitente da DPS for o prestador de serviço (tpEmit for igual a 1), então o nome ou razão social não deve ser informado.;;Obrig.;Rej.;E0121;O nome ou razão social do prestador não deve ser informado quando o emitente da DPS for o próprio prestador.;2;V;X;V;X;-;;;
203;;;Se o emitente da DPS não for o prestador de serviço (tpEmit for igual a 2 ou 3), então o nome ou razão social deve ser informado.;;Obrig.;Rej.;E0122;O nome ou razão social do prestador deve ser informado quando o emitente da DPS não for o próprio prestador.;2;V;X;V;X;-;;;
204;;;Se NIF do prestador for preenchido então o campo xNome deve ser preenchido obrigatoriamente.;;Obrig.;Rej.;E0123;O preenchimento do nome empresarial é obrigatório quando o prestador for identificado com NIF.;1;V;X;V;X;-;;;
205;NFSe/infNFSe/DPS/infDPS/prest/;end;Se o emitente da DPS for o tomador ou intermediário (tpEmit = 2 ou 3) o grupo de informações do endereço do prestador de serviço deve ser informado na DPS obrigatoriamente.;;Obrig.;Rej.;E0129;O endereço do prestador deve ser informado na DPS quando o prestador não for o emitente da DPS.;1;V;X;V;X;-;;;
206;;;Se o emitente da DPS é o prestador do serviço (tpEmit = 1), então o grupo de informações do endereço do prestador de serviço não deve ser informado na DPS.;;Obrig.;Rej.;E0128;O endereço do prestador do serviço não deve ser informado na DPS quando o próprio prestador for o emitente da DPS.;1;V;X;V;X;-;;;
207;NFSe/infNFSe/DPS/infDPS/prest/;endNac;Se o CNPJ ou CPF do prestador de serviço foi informado e o emitente da DPS for o prestador (tpEmit = 2 ou 3), então o grupo de informações de endereço nacional do prestador do serviço deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0125;O endereço nacional do prestador do serviço deve ser informado na DPS quando for identificado pelo CNPJ ou CPF e o emitente da DPS for o tomador ou intermediário.;1;V;X;V;X;-;;;
208;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;cMun;O código do município para o endereço do prestador do serviço não existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.;;Obrig.;Rej.;E0130;O código do município para o endereço do prestador do serviço não existe conforme tabela de município do IBGE.;1;V;X;V;X;-;;;
209;;;Quando o endereço nacional do prestador for informado na DPS e o mesmo for identificado pelo CNPJ, o código do município do endereço do prestador, deve existir e corresponder ao município do seu endereço no cadastro CNPJ ou do endereço registrado em suas informações complementares no CNC NFS-e, na data de competência informada na DPS.;;Obrig.;Rej.;E0132;O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CNPJ, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.;2;V;X;X;X;-;;;
210;;;Quando o endereço nacional do prestador for informado na DPS e o mesmo for identificado pelo CPF, o código do município do endereço do prestador, deve existir e corresponder ao município do seu endereço no cadastro CPF ou do endereço registrado em suas informações complementares no CNC NFS-e, na data de competência informada na DPS.;;Obrig.;Rej.;E0134;O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CPF, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.;2;V;X;X;X;-;;;
211;NFSe/infNFSe/DPS/infDPS/prest/end/endNac/;CEP;O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do prestador do serviço.;;Obrig.;Rej.;E0138;O CEP informado para o endereço nacional do prestador do serviço não existente ou não pertence ao município informado na DPS. Informe um CEP existente e que pertença ao município informado para o endereço do prestador do serviço na DPS.;1;V;X;V;X;-;;;
212;NFSe/infNFSe/DPS/infDPS/prest/end/;endExt;Se o NIF do prestador de serviço foi informado e o emitente da DPS, tomador ou intermedirio (tpEmit = 2 ou 3), for identificado por CNPJ, então o grupo de informações de endereço no exterior do prestador do serviço deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0142;O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o prestador for identificado pelo NIF e o emitente por CNPJ.;1;V;X;V;X;-;;;
213;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cPais;O código de país informado para o endereço no exterior do prestador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.;;Obrig.;Rej.;E0146;O código de país informado para o endereço no exterior do prestador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do prestador do serviço, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;X;V;X;-;;;
214;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
215;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
216;NFSe/infNFSe/DPS/infDPS/prest/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
217;NFSe/infNFSe/DPS/infDPS/prest/end/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
218;NFSe/infNFSe/DPS/infDPS/prest/end/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
219;NFSe/infNFSe/DPS/infDPS/prest/end/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
220;NFSe/infNFSe/DPS/infDPS/prest/end/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
221;NFSe/infNFSe/DPS/infDPS/prest/;fone;-;;-;-;-;-;-;-;-;-;-;-;;;
222;NFSe/infNFSe/DPS/infDPS/prest/;email;Email deve ser informado conforme estrutura (conter @, ponto etc.).;;Obrig.;Rej.;E0148;Email inválido.;2;V;X;V;X;-;;;
223;NFSe/infNFSe/DPS/infDPS/prest/;regTrib;-;;-;-;-;-;-;-;-;-;-;-;;;
224;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;opSimpNac;"Opção de situação perante o Simples Nacional do prestador, informada na DPS, não está de acordo com o cadastro Simples Nacional na data de competência informada na DPS.
Se CNPJ do prestador não consta no cadastro então opSimpNac é igual a 1;";;Obrig.;Rej.;E0160;No mês de competência da NFS-e, a opção de situação perante o Simples Nacional, do prestador, informada na DPS não está de acordo com o cadastro Simples Nacional.;2;V;X;X;X;-;;;
225;;;Quando o emitente for MEI a NFS-e poderá ser compartilhada pelo município com o ADN somente se a data de competência for igual ou menor que 31/08/2023.;;Obrig.;Rej.;E0161;NFS-e cujo emitente for MEI somente poderá ser compartilhada pelo município com o ADN se a data de competência, informada na NFS-e, for menor ou igual a 31/08/2023.;2;X;X;V;V;-;;;
226;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regApTribSN;O regime de apuração dos tributos para o optante do Simples Nacional (ME/EPP) não pode ser preenchido quando o prestador de serviço não for optante do simples nacional ou for MEI, ou seja, o campo opSimpNac = 1 ou 2.;;Obrig.;Rej.;E0162;Não é permitido ao não optante do Simples Nacional e o MEI preencherem o campo de indicação do regime de apuração dos tributos apurados.;2;V;X;V;X;-;;;
227;;;O regime de apuração dos tributos para o optante do Simples Nacional (ME/EPP) deve ser preenchido obrigatoriamente quando o prestador de serviço for optante do simples nacional (ME/EPP), ou seja, o campo opSimpNac = 3.;;Obrig.;Rej.;E0166;É obrigatorio o preenchimento do campo de regime de apuração dos tributos do SN para o optante do Simples Nacional ME/EPP.;2;V;X;V;X;-;;;
228;NFSe/infNFSe/DPS/infDPS/prest/regTrib/;regEspTrib;"Não é permitido informar Regime Especial de Tributação, ou seja, regEspTrib deve ser igual a 0 (Nenhum), quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo referente à tributação do ISSQN (tribISSQN) é igual a ""2 - Imunidade, ""3 - Exportação de Serviço"" ou ""4 - Não Incidência"", 
(tribISSQN = 2, 3 ou 4).";;Obrig.;Rej.;E0172;"O Regime Especial de Tributação deve ser ""Nenhum"" (regEspTrib = 0) quando o serviço prestado for diferente de Tributável (tribISSQN = 1), ou seja, tribISSQN = 2, 3 ou 4.";2;V;X;V;X;-;;;
229;;;"O tipo de regime especial de tributação deve ser ""Nenhum"", quando o prestador for MEI (opSimpNac = 2).";;Obrig.;Rej.;E0174;"Quando o prestador da NFS-e é MEI (opSimpNac = 2) o regime especial de tributação deve ser ""Nenhum"" (regEspTrib = 0).";2;V;X;V;X;-;;;
230;;;"O tipo de regime especial de tributação deve ser ""Nenhum"" (regEspTrib = 0) quando o prestador for optante do Simples Nacional ME/EPP (opSimpNac = 3) e o regime de apuração dos tributos federais e municipal ocorrer pelo SN (regApTribSN = 1).";;Obrig.;Rej.;E0175;"Quando o prestador optante pelo Simples Nacional tiver o regime de apuração dos tributos ocorrendo também pelo Simples Nacional, o regime especial de tributação do ISSQN deve ser ""Nenhum"" (regEspTrib = 0).";2;V;X;V;X;-;;;
231;;;"Não é permitido informar Regime Especial de Tributação ""Não admitido pelo município"", conforme parametrização do município de incidência do ISSQN.";;Obrig.;Rej.;E0177;Regime especial de tributação informado na DPS não é admitido na parametrização do município de incidência do ISSQN.;2;V;X;X;X;-;;;
232;;;"É permitido informar Profissional Autônomo na DPS somente se:

 o prestador de serviço estiver parametrizado como Profissional Autônomo, na data de competência informada na DPS, em pelo menos um dos municípios, emissor ou de incidência do ISSQN (cLocIncid ou cLocEmi)
ou
se estiver admitido sem verificação (parâmetro ""Informado na DPS pelo Emitente - Sem verificação""), conforme parametrização do município de incidência do ISSQN na data de competência informada na DPS.";;Obrig.;Rej.;E0176;"É permitido informar Profissional Autônomo na DPS somente se o prestador de serviço estiver parametrizado como Profissional Autônomo, na data de competência informada na DPS, em pelo menos um dos municípios, emissor ou de incidência do ISSQN (cLocIncid ou cLocEmi) ou se estiver admitido sem verificação (parâmetro ""Informado na DPS pelo Emitente - Sem verificação""), conforme parametrização do município de incidência do ISSQN na data de competência informada na DPS.";2;V;X;V;X;-;;;
233;;;"É permitido informar Regime Especial de Tributação atribuído para contribuinte específico, conforme parametrização do município de incidência do ISSQN na data de competência informada na DPS.

ver descrição na coluna observações de negócio.";;Obrig.;Rej.;E0178;Regime especial de tributação não permitido para o prestador do serviço com código de tributação na data de competência, informados na DPS, conforme parametrização do município de incidência do ISSQN.;2;V;X;X;X;-;;;
234;NFSe/infNFSe/DPS/infDPS/;toma;Se campo cIndOp for igual a 030102, 050102, 100101, 100301, 100501, 030103, 050103, 100102, 100201, 100302, 100401, 100502 ou 100601, então o grupo toma deve ser informado.;;Obrig.;Rej.;E0187;O grupo de informações relativas ao tomador/adquirente do serviço é obrigatório para o indicador de operação informado.;2;V;X;V;X;-;;;
235;NFSe/infNFSe/DPS/infDPS/toma/;CNPJ;CNPJ informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0188;CNPJ do tomador informado na DPS é inválido.;1;V;V;V;V;-;;;
236;;;CNPJ do tomador não existe no cadastro CNPJ na data de competência informada na DPS.;;Obrig.;Rej.;E0190;CNPJ do tomador não encontrado no cadastro CNPJ.;2;V;V;X;X;-;;;
