LISTA NACIONAL DE SERVIÇOS;;DETERMINAÇÃO DA LOCALIDADE DE INCIDÊNCIA (LI) DE ACORDO COM A LC 116/03;;;;GRUPOS DE INFORMAÇÕES PARA DETALHAMENTO DO SERVIÇO;
170101;Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista.;X;-;-;X;-;X
170102;Análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.;X;-;-;X;-;X
170201;Datilografia, digitação, estenografia e congêneres.;X;-;-;X;-;X
170202;Expediente, secretaria em geral, apoio e infra-estrutura administrativa e congêneres.;X;-;-;X;-;X
170203;Resposta audível e congêneres.;X;-;-;X;-;X
170204;Redação, edição, revisão e congêneres.;X;-;-;X;-;X
170205;Interpretação, tradução e congêneres.;X;-;-;X;-;X
170301;Planejamento, coordenação, programação ou organização técnica.;X;-;-;X;-;X
170302;Planejamento, coordenação, programação ou organização financeira.;X;-;-;X;-;X
170303;Planejamento, coordenação, programação ou organização administrativa.;X;-;-;X;-;X
170401;Recrutamento, agenciamento, seleção e colocação de mão-de-obra.;X;-;-;X;-;X
170501;Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores, avulsos ou temporários, contratados pelo prestador de serviço.;-;-;X;X;-;X
170601;Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de publicidade, elaboração de desenhos, textos e demais materiais publicitários.;X;-;-;X;-;X
170801;Franquia (franchising).;X;-;-;X;-;X
170901;Perícias, laudos, exames técnicos e análises técnicas.;X;-;-;X;-;X
171001;Planejamento, organização e administração de feiras, exposições, e congêneres.;-;X;-;X;-;X
171002;Planejamento, organização e administração de congressos e congêneres.;-;X;-;X;-;X
171101;Organização de festas e recepções.;X;-;-;X;-;X
171102;Bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito ao ICMS).;X;-;-;X;-;X
171201;Administração em geral, inclusive de bens e negócios de terceiros.;X;-;-;X;-;X
171301;Leilão e congêneres.;X;-;-;X;-;X
171401;Advocacia;X;-;-;X;-;X
171501;Arbitragem de qualquer espécie, inclusive jurídica.;X;-;-;X;-;X
171601;Auditoria.;X;-;-;X;-;X
171701;Análise de Organização e Métodos.;X;-;-;X;-;X
171801;Atuária e cálculos técnicos de qualquer natureza.;X;-;-;X;-;X
171901;Contabilidade, inclusive serviços técnicos e auxiliares.;X;-;-;X;-;X
172001;Consultoria e assessoria econômica ou financeira.;X;-;-;X;-;X
172101;Estatística.;X;-;-;X;-;X
172201;Cobrança em geral.;X;-;-;X;-;X
172301;Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações, administração de contas a receber ou a pagar e em geral, relacionados a operações de faturização (factoring).;X;-;-;X;-;X
172401;Apresentação de palestras, conferências, seminários e congêneres.;X;-;-;X;-;X
172501;Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto em livros, jornais, periódicos e nas modalidades de serviços de radiodifusão sonora e de sons e imagens de recepção livre e gratuita).;X;-;-;X;-;X
180101;Serviços de regulação de sinistros vinculados a contratos de seguros e congêneres.;X;-;-;X;-;X
180102;Serviços de inspeção e avaliação de riscos para cobertura de contratos de seguros e congêneres.;X;-;-;X;-;X
180103;Serviços de prevenção e gerência de riscos seguráveis e congêneres.;X;-;-;X;-;X
190101;Serviços de distribuição e venda de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres.;X;-;-;X;-;X
190102;Serviços de distribuição e venda de bingos e congêneres.;X;-;-;X;-;X
200101;Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de embarcações, rebocador escoteiro, atracação, desatracação, serviços de praticagem, capatazia, armazenagem de qualquer natureza, serviços acessórios, movimentação de mercadorias, serviços de apoio marítimo, de movimentação ao largo, serviços de armadores, estiva, conferência, logística e congêneres.;-;(**) X;-;X;-;X
200201;Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de qualquer natureza, capatazia, movimentação de aeronaves, serviços de apoio aeroportuários, serviços acessórios, movimentação de mercadorias, logística e congêneres.;-;X;-;X;-;X
200301;Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias, inclusive suas operações, logística e congêneres.;-;X;-;X;-;X
210101;Serviços de registros públicos, cartorários e notariais.;X;-;-;X;-;X
220101;Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo execução de serviços de conservação, manutenção, melhoramentos para adequação de capacidade e segurança de trânsito, operação, monitoração, assistência aos usuários e outros serviços definidos em contratos, atos de concessão ou de permissão ou em normas oficiais.;-;X;-;X;-;X
230101;Serviços de programação e comunicação visual e congêneres.;X;-;-;X;-;X
230102;Serviços de desenho industrial e congêneres.;X;-;-;X;-;X
240101;Serviços de chaveiros, confecção de carimbos e congêneres.;X;-;-;X;-;X
240102;Serviços de placas, sinalização visual, banners, adesivos e congêneres.;X;-;-;X;-;X
250101;"Funerais, inclusive fornecimento de caixão, urna ou esquifes; aluguel de capela; transporte do corpo cadavérico; fornecimento de flores, coroas e outros paramentos; desembaraço de certidão de óbito; fornecimento de véu, essa e outros adornos; embalsamento, embelezamento, conservação ou restauração de cadáveres.";X;-;-;X;-;X
250201;Translado intramunicipal de corpos e partes de corpos cadavéricos.;X;-;-;X;-;X
250202;Cremação de corpos e partes de corpos cadavéricos.;X;-;-;X;-;X
250301;Planos ou convênio funerários.;X;-;-;X;-;X
250401;Manutenção e conservação de jazigos e cemitérios.;X;-;-;X;-;X
250501;Cessão de uso de espaços em cemitérios para sepultamento.;X;-;-;X;-;X
260101;Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas.;X;-;-;X;-;X
260102;Serviços de courrier e congêneres.;X;-;-;X;-;X
270101;Serviços de assistência social.;X;-;-;X;-;X
280101;Serviços de avaliação de bens e serviços de qualquer natureza.;X;-;-;X;-;X
290101;Serviços de biblioteconomia.;X;-;-;X;-;X
300101;Serviços de biologia e biotecnologia.;X;-;-;X;-;X
300102;Serviços de química.;X;-;-;X;-;X
310101;Serviços técnicos em edificações e congêneres.;X;-;-;X;-;X
310102;Serviços técnicos em eletrônica, eletrotécnica e congêneres.;X;-;-;X;-;X
310103;Serviços técnicos em mecânica e congêneres.;X;-;-;X;-;X
310104;Serviços técnicos em telecomunicações e congêneres.;X;-;-;X;-;X
320101;Serviços de desenhos técnicos.;X;-;-;X;-;X
330101;Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres.;X;-;-;X;-;X
340101;Serviços de investigações particulares, detetives e congêneres.;X;-;-;X;-;X
350101;Serviços de reportagem e jornalismo.;X;-;-;X;-;X
350102;Serviços de assessoria de imprensa.;X;-;-;X;-;X
350103;Serviços de relações públicas.;X;-;-;X;-;X
360101;Serviços de meteorologia.;X;-;-;X;-;X
370101;Serviços de artistas, atletas, modelos e manequins.;X;-;-;X;-;X
380101;Serviços de museologia.;X;-;-;X;-;X
390101;Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço).;X;-;-;X;-;X
400101;Obras de arte sob encomenda.;X;-;-;X;-;X
990101;Serviços sem a incidência de ISSQN e ICMS;-;-;-;-;-;X
